Name,Description,Url
"Computing and Library Services","Commitee documents for Computing and Library Services.",CLS
"Estates and Facilities Services","Commitee documents for Estates and Facilities Services.",ESSE
"Financial Services","Commitee documents for Financial Services.",FINA
"International Office","Commitee documents for International Office.",INTE
"Planning and Information Service","Commitee documents for Planning and Information Service.",PINS
"Research and Enterprise","Commitee documents for Research and Enterprise.",RE
"School of Applied Sciences","Commitee documents for School of Applied Sciences.",SAPP
"School of Art Design and Architecture","Commitee documents for School of Art Design and Architecture.",SADA
"School of Computing and Engineering","Commitee documents for School of Computing and Engineering.",SCE
"School of Education and Professional Development","Commitee documents for School of Education and Professional Development.",SEPD
"School of Human and Health Sciences","Commitee documents for School of Human and Health Sciences.",SHUM
"School of Music Humanities and Media","Commitee documents for School of Music Humanities and Media.",SMUS
"Student Services","Commitee documents for Student Services.",STSE
"The Business School","Commitee documents for The Business School.",BUS
"University Campus Barnsley","Commitee documents for University Campus Barnsley.",UCB
"University Campus Oldham","Commitee documents for University Campus Oldham.",UCO
"University Committees","Commitee documents for University Committees.",UCOM
"University IT Systems","Commitee documents for University IT Systems.",UITS
