Site,Web,ContentType,Value,TermStoreGroup,TermSet,DocLib,TargetField,TermPath
https://devunishare.hud.ac.uk,/demo/COM/University-Committees/,EDRMS University Committee,Audit Committee,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/demo/COM/University-Committees/,EDRMS University Committee,Award Ceremony Planning Group,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/demo/COM/University-Committees/,EDRMS University Committee,Education for Sustainable Development Forum,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/demo/COM/University-Committees/,EDRMS University Committee,Employment and Finance Committee,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/demo/COM/University-Committees/,EDRMS University Committee,Equality and Diversity Enhancement Group,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/demo/COM/University-Committees/,EDRMS University Committee,Exams Working Party,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/demo/COM/University-Committees/,EDRMS University Committee,Governance and Membership Committee,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/demo/COM/University-Committees/,EDRMS University Committee,Human Resources Committee,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/demo/COM/University-Committees/,EDRMS University Committee,Independent Members,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/demo/COM/University-Committees/,EDRMS University Committee,Managed Work Placement Forum,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/demo/COM/University-Committees/,EDRMS University Committee,Nominations Committee,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/demo/COM/University-Committees/,EDRMS University Committee,Planning and Resource Group,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/demo/COM/University-Committees/,EDRMS University Committee,Planning and Resources Committee,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/demo/COM/University-Committees/,EDRMS University Committee,Quality and Standards Advisory Group,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/demo/COM/University-Committees/,EDRMS University Committee,Quality Standards Panel,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/demo/COM/University-Committees/,EDRMS University Committee,Registry Schools Partnership,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/demo/COM/University-Committees/,EDRMS University Committee,Research Committee,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/demo/COM/University-Committees/,EDRMS University Committee,Senate,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/demo/COM/University-Committees/,EDRMS University Committee,Senior Management Team,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/demo/COM/University-Committees/,EDRMS University Committee,Standing Committee for Collaborative Provision,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/demo/COM/University-Committees/,EDRMS University Committee,Student Council,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/demo/COM/University-Committees/,EDRMS University Committee,Teaching and Learning Development Group,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/demo/COM/University-Committees/,EDRMS University Committee,Teaching and Learning Institute Management Board,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/demo/COM/University-Committees/,EDRMS University Committee,University Council,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/demo/COM/University-Committees/,EDRMS University Committee,University Executive,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/demo/COM/University-Committees/,EDRMS University Committee,University Gender and Sexual Orientation Forum,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/demo/COM/University-Committees/,EDRMS University Committee,University International Committee,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/demo/COM/University-Committees/,EDRMS University Committee,University Managers Group,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/demo/COM/University-Committees/,EDRMS University Committee,University Race and Religion Forum,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/demo/COM/University-Committees/,EDRMS University Committee,University Teaching and Learning Committee,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
,/demo/COM/University-Committees/,EDRMS University Committee,University Timetable User Group,EDRMS Fileplan,Committees,@Drop Off Library,University Committee Name,|Committees|University Committees
