Name,Description,URL
"School of Human and Health Sciences","Committee documents for School of Human and Health Sciences",School-of-Human-and-Health-Sciences
"The Business School","Committee documents for The Business School",The-Business-School
"School of Applied Sciences","Committee documents for School of Applied Sciences",School-of-Applied-Sciences
"School of Art Design and Architecture","Committee documents for School of Art Design and Architecture",School-of-Art-Design-and-Architecture
"School of Computing and Engineering","Committee documents for School of Computing and Engineering",School-of-Computing-and-Engineering
"School of Music Humanities and Media","Committee documents for School of Music Humanities and Media",School-of-Music-Humanities-and-Media
"School of Education and Professional Development","Committee documents for School of Education and Professional Development",School-of-Education-and-Professional-Development
"Computing and Library Services","Committee documents for Computing and Library Services",Computing-and-Library-Services
"Estates and Facilities Services","Committee documents for Estates and Facilities Services",Estates-and-Facilities-Services
"Financial Services","Committee documents for Financial Services",Financial-Services
"Research and Enterprise","Committee documents for Research and Enterprise",Research-and-Enterprise
"Planning and Information Service","Committee documents for Planning and Information Service",Planning-and-Information-Service
"University IT Systems","Committee documents for University IT Systems",University-IT-Systems
"International Office","Committee documents for International Office",International-Office
"University Campus Barnsley","Committee documents for University Campus Barnsley",University-Campus-Barnsley
"University Campus Oldham","Committee documents for University Campus Oldham",University-Campus-Oldham
"Student Services","Committee documents for Student Services",Student-Services
