Term Set Name,Term Set Description,LCID,Available for Tagging,Term Description,Level 1 Term,Level 2 Term,Level 3 Term,Level 4 Term,Level 5 Term,Level 6 Term,Level 7 Term
Courses,Courses available to student of Huddersfield University,,TRUE,Biology,School of Applied Sciences,Biology,,,,,
,,,TRUE,Chmistry,School of Applied Sciences,Chmistry,,,,,
,,,TRUE,Geography and Environment,School of Applied Sciences,Geography and Environment,,,,,
,,,TRUE,Nutrition and Health,School of Applied Sciences,Nutrition and Health,,,,,
,,,TRUE,Pharmacy and Pharmaceutical Sciences,School of Applied Sciences,Pharmacy and Pharmaceutical Sciences,,,,,
,,,TRUE,Science Foundation,School of Applied Sciences,Science Foundation,,,,,
,,,TRUE,Women into Science,School of Applied Sciences,Women into Science,,,,,
,,,TRUE,Physics,School of Applied Sciences,Physics,,,,,
,,,TRUE,Accountancy,The Business School,Accountancy,,,,,
,,,TRUE,Law,The Business School,Law,,,,,
,,,TRUE,Strategy And Marketing,The Business School,Strategy And Marketing,,,,,
,,,TRUE,Leadership And Management,The Business School,Leadership And Management,,,,,
,,,TRUE,Hospitality and Events,The Business School,Hospitality and Events,,,,,
,,,TRUE,Transport Logistics and Tourism,The Business School,Transport Logistics and Tourism,,,,,
,,,TRUE,MADEP,School of Human and Health Sciences,MADEP,,,,,
,,,TRUE,BSc Nursing,School of Human and Health Sciences,BSc Nursing,,,,,
,,,TRUE,BSc Professional studies,School of Human and Health Sciences,BSc Professional studies,,,,,
,,,TRUE,Postgraduate Courses,School of Human and Health Sciences,Postgraduate Courses,,,,,
,,,TRUE,Psychology Suite,School of Human and Health Sciences,Psychology Suite,,,,,
,,,TRUE,Social Psychology,School of Human and Health Sciences,Social Psychology,,,,,
,,,TRUE,Politics,School of Human and Health Sciences,Politics,,,,,
,,,TRUE,Joint Sociology,School of Human and Health Sciences,Joint Sociology,,,,,
,,,TRUE,Sociology,School of Human and Health Sciences,Sociology,,,,,
,,,TRUE,Criminology,School of Human and Health Sciences,Criminology,,,,,
,,,TRUE,Sociology with Criminology,School of Human and Health Sciences,Sociology with Criminology,,,,,
,,,TRUE,CG and PSM,School of Human and Health Sciences,CG and PSM,,,,,
,,,TRUE,PSM,School of Human and Health Sciences,PSM,,,,,
,,,TRUE,MSc Social Research and Evaluation,School of Human and Health Sciences,MSc Social Research and Evaluation,,,,,
,,,TRUE,Counselling,School of Human and Health Sciences,Counselling,,,,,
,,,TRUE,Midwifery,School of Human and Health Sciences,Midwifery,,,,,
,,,TRUE,Foundation Degrees,School of Human and Health Sciences,Foundation Degrees,,,,,
,,,TRUE,Podiatry,School of Human and Health Sciences,Podiatry,,,,,
,,,TRUE,Rehabilitation,School of Human and Health Sciences,Rehabilitation,,,,,
,,,TRUE,ODP,School of Human and Health Sciences,ODP,,,,,
,,,TRUE,Exercise Physical Activity Health,School of Human and Health Sciences,Exercise Physical Activity Health,,,,,
,,,TRUE,Occupational Therapy,School of Human and Health Sciences,Occupational Therapy,,,,,
,,,TRUE,Social Work,School of Human and Health Sciences,Social Work,,,,,
,,,TRUE,Applied Criminology,School of Human and Health Sciences,Applied Criminology,,,,,
,,,TRUE,PQCCA,School of Human and Health Sciences,PQCCA,,,,,
,,,TRUE,Police Studies,School of Human and Health Sciences,Police Studies,,,,,
,,,TRUE,Health and Community Studies,School of Human and Health Sciences,Health and Community Studies,,,,,
,,,TRUE,Pg Social Work,School of Human and Health Sciences,Pg Social Work,,,,,
,,,TRUE,MSc Advanced Nurse Practitioner Advanced Healthcare Practitioner,School of Human and Health Sciences,MSc Advanced Nurse Practitioner Advanced Healthcare Practitioner,,,,,
,,,TRUE,BSc Community Specialist Practitioner,School of Human and Health Sciences,BSc Community Specialist Practitioner,,,,,
,,,TRUE,MSc HPE MSc ACP MSc PLAL,School of Human and Health Sciences,MSc HPE MSc ACP MSc PLAL,,,,,
,,,TRUE,MSc Learning Disabilities QoL,School of Human and Health Sciences,MSc Learning Disabilities QoL,,,,,
,,,TRUE,Extended Nurse Prescribing,School of Human and Health Sciences,Extended Nurse Prescribing,,,,,
,,,TRUE,Culture Media and Society,School of Human and Health Sciences,Culture Media and Society,,,,,
