Title,Description,ContentType
"Genetic Modification Committee","","School of Applied Sciences"
"School Accreditation and Validation Panel","","School of Applied Sciences"
"School Annual Evaluation Committee","","School of Applied Sciences"
"School Board","","School of Applied Sciences"
"School Ethics Committee","","School of Applied Sciences"
"School Health and Safety Committee","","School of Applied Sciences"
"School Human Tissue Committee","","School of Applied Sciences"
"School International Committee","","School of Applied Sciences"
"School Management Committee","","School of Applied Sciences"
"School Marketing and Recruitment","","School of Applied Sciences"
"School Research Committee","","School of Applied Sciences"
"School Research Degrees Committee","","School of Applied Sciences"
"School Research Integrity and Ethics Committee","","School of Applied Sciences"
"School Teaching Committee","","School of Applied Sciences"
