Site,Web,ContentType,Value,TermStoreGroup,TermSet,DocLib,TargetField,TermPath
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,Athena Swan,UF Fileplan,Committees,Athena Swan,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,Audit Committee,UF Fileplan,Committees,Audit Committee,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,Award Ceremony Planning Group,UF Fileplan,Committees,Award Ceremony Planning Group,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,Business Development and Commercial Group,UF Fileplan,Committees,Business Development and Commercial Group,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,Education for Sustainable Development Forum,UF Fileplan,Committees,Education for Sustainable Development Forum,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,Employment and Finance Committee,UF Fileplan,Committees,Employment and Finance Committee,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,Equality and Diversity Enhancement Group,UF Fileplan,Committees,Equality and Diversity Enhancement Group,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,Exams Working Party,UF Fileplan,Committees,Exams Working Party,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,Extenuating Circumstances Panel,UF Fileplan,Committees,Extenuating Circumstances Panel,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,Governance and Membership Committee,UF Fileplan,Committees,Governance and Membership Committee,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,Graduate Board,UF Fileplan,Committees,Graduate Board,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,Human Resources Committee,UF Fileplan,Committees,Human Resources Committee,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,Independent Members,UF Fileplan,Committees,Independent Members,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,Innovation Committee,UF Fileplan,Committees,Innovation Committee,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,Managed Work Placement Forum,UF Fileplan,Committees,Managed Work Placement Forum,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,Nominations Committee,UF Fileplan,Committees,Nominations Committee,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,Planning and Resource Group,UF Fileplan,Committees,Planning and Resource Group,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,Planning and Resources Committee,UF Fileplan,Committees,Planning and Resources Committee,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,Quality and Standards Advisory Group,UF Fileplan,Committees,Quality and Standards Advisory Group,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,Quality Standards Panel,UF Fileplan,Committees,Quality Standards Panel,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,Registry Schools Partnership,UF Fileplan,Committees,Registry Schools Partnership,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,Senate,UF Fileplan,Committees,Senate,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,Senior Management Team,UF Fileplan,Committees,Senior Management Team,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,Standing Committee for Collaborative Provision,UF Fileplan,Committees,Standing Committee for Collaborative Provision,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,Student Council,UF Fileplan,Committees,Student Council,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,Teaching and Learning Development Group,UF Fileplan,Committees,Teaching and Learning Development Group,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,Teaching and Learning Institute Management Board,UF Fileplan,Committees,Teaching and Learning Institute Management Board,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,University Council,UF Fileplan,Committees,University Council,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,University Executive,UF Fileplan,Committees,University Executive,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,University Gender and Sexual Orientation Forum,UF Fileplan,Committees,University Gender and Sexual Orientation Forum,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,University Health and Safety Committee,UF Fileplan,Committees,University Health and Safety Committee,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,University International Committee,UF Fileplan,Committees,University International Committee,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,University Managers Group,UF Fileplan,Committees,University Managers Group,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,University Race and Religion Forum,UF Fileplan,Committees,University Race and Religion Forum,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,University Research Careers and Engagement Oversight Group,UF Fileplan,Committees,University Research Careers and Engagement Oversight Group,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,University Research Committee,UF Fileplan,Committees,University Research Committee,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,University Research Ethics and Integrity Committee,UF Fileplan,Committees,University Research Ethics and Integrity Committee,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,University Research Group,UF Fileplan,Committees,University Research Group,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,University Teaching and Learning Committee,UF Fileplan,Committees,University Teaching and Learning Committee,University Committees,|Committees|University Committees
https://testunifunctions.hud.ac.uk,/University-Committees/,University Committees,University Timetable User Group,UF Fileplan,Committees,University Timetable User Group,University Committees,|Committees|University Committees
