Site,Web,ContentType,Value,TermStoreGroup,TermSet,DocLib,TargetField,TermPath
https://unishare.hud.ac.uk/unifunctions,/COM/Computing-and-Library-Services,EDRMS CLS Committee,Activities,EDRMS Fileplan,Committees,Activities,CLS Committee Name,|Committees|Computing and Library Services
https://unishare.hud.ac.uk/unifunctions,/COM/Computing-and-Library-Services,EDRMS CLS Committee,Archives Management Group,EDRMS Fileplan,Committees,Archives Management Group,CLS Committee Name,|Committees|Computing and Library Services
https://unishare.hud.ac.uk/unifunctions,/COM/Computing-and-Library-Services,EDRMS CLS Committee,CLS Equal Opportunities Committee,EDRMS Fileplan,Committees,CLS Equal Opportunities Committee,CLS Committee Name,|Committees|Computing and Library Services
https://unishare.hud.ac.uk/unifunctions,/COM/Computing-and-Library-Services,EDRMS CLS Committee,CLS Health and Safety Committee,EDRMS Fileplan,Committees,CLS Health and Safety Committee,CLS Committee Name,|Committees|Computing and Library Services
https://unishare.hud.ac.uk/unifunctions,/COM/Computing-and-Library-Services,EDRMS CLS Committee,CLS SustainabilityGroup,EDRMS Fileplan,Committees,CLS SustainabilityGroup,CLS Committee Name,|Committees|Computing and Library Services
https://unishare.hud.ac.uk/unifunctions,/COM/Computing-and-Library-Services,EDRMS CLS Committee,CS Planning,EDRMS Fileplan,Committees,CS Planning,CLS Committee Name,|Committees|Computing and Library Services
https://unishare.hud.ac.uk/unifunctions,/COM/Computing-and-Library-Services,EDRMS CLS Committee,Estates CLS Liaison Group,EDRMS Fileplan,Committees,Estates CLS Liaison Group,CLS Committee Name,|Committees|Computing and Library Services
https://unishare.hud.ac.uk/unifunctions,/COM/Computing-and-Library-Services,EDRMS CLS Committee,IT Management Team,EDRMS Fileplan,Committees,IT Management Team,CLS Committee Name,|Committees|Computing and Library Services
https://unishare.hud.ac.uk/unifunctions,/COM/Computing-and-Library-Services,EDRMS CLS Committee,Library Management Group,EDRMS Fileplan,Committees,Library Management Group,CLS Committee Name,|Committees|Computing and Library Services
https://unishare.hud.ac.uk/unifunctions,/COM/Computing-and-Library-Services,EDRMS CLS Committee,Record Administrator Meeting,EDRMS Fileplan,Committees,Record Administrator Meeting,CLS Committee Name,|Committees|Computing and Library Services
https://unishare.hud.ac.uk/unifunctions,/COM/Computing-and-Library-Services,EDRMS CLS Committee,Senior Management Team,EDRMS Fileplan,Committees,Senior Management Team,CLS Committee Name,|Committees|Computing and Library Services
